participant_id,mode,archetype,staker_principal,active,active_from_draw,bankroll,cumulative_pnl,wins,losses,entries,withdrawals,fees_paid,pro_rata_received
player_01493,player,occasional_player,0.0,True,1,2.94288488,-0.521015813,0,1,1,0,0.0,0.0
player_01494,player,occasional_player,0.0,True,1,2.448360415,-0.310742462,0,1,1,0,0.0,0.0
player_01495,player,occasional_player,0.0,True,1,2.411470484,-1.15168252,0,3,3,0,0.0,0.0
player_01496,player,occasional_player,0.0,True,1,3.570353987,-0.94144846,0,2,2,0,0.0,0.0
player_01497,player,occasional_player,0.0,True,1,1.047444123,-0.419640496,0,2,2,0,0.0,0.0
player_01498,player,player_whale,0.0,True,1,43.210391691,1.812565509,1,1,2,0,0.203586203,0.0
player_01499,player,occasional_player,0.0,True,1,2.765805431,-0.950062107,0,2,2,0,0.0,0.0
player_01500,player,occasional_player,0.0,True,1,0.81901572,-0.18098428,0,1,1,0,0.0,0.0
player_01501,player,occasional_player,0.0,True,1,0.845112227,-0.17380872,0,2,2,1,0.0,0.0
player_01502,player,occasional_player,0.0,True,1,3.934023236,-1.246021936,0,2,2,0,0.0,0.0
player_01503,player,opportunistic_player,0.0,True,1,3.888246069,-1.466434117,0,2,2,0,0.0,0.0
player_01504,player,occasional_player,0.0,True,1,1.711742268,-0.864347832,0,3,3,0,0.0,0.0
player_01505,player,occasional_player,0.0,True,1,0.587807788,-0.581277511,0,4,4,0,0.0,0.0
player_01506,player,occasional_player,0.0,True,1,4.260778719,-1.219226893,0,2,2,0,0.0,0.0
player_01507,player,player_whale,0.0,True,1,89.908908153,-11.854502932,0,2,2,0,0.0,0.0
player_01508,player,player_whale,0.0,True,1,41.68300669,-1.892898467,0,1,1,0,0.0,0.0
player_01509,player,opportunistic_player,0.0,True,1,5.689683064,-0.627397064,0,1,1,0,0.0,0.0
player_01510,player,occasional_player,0.0,True,1,2.707218769,-0.530077745,0,2,2,0,0.0,0.0
player_01511,player,occasional_player,0.0,True,1,5.852306024,-0.886375655,0,1,1,0,0.0,0.0
player_01512,player,occasional_player,0.0,True,1,2.410349554,-0.767218233,0,2,2,0,0.0,0.0
player_01513,player,occasional_player,0.0,True,1,19.657543134,-2.036396428,0,1,1,0,0.0,0.0
player_01514,player,opportunistic_player,0.0,True,1,4.263601149,-0.491333465,0,1,1,0,0.0,0.0
player_01515,player,occasional_player,0.0,True,1,2.540359824,-0.459961543,0,1,1,0,0.0,0.0
player_01516,player,opportunistic_player,0.0,True,1,7.513072575,-0.941676443,0,2,2,0,0.0,0.0
player_01517,player,player_whale,0.0,True,1,122.614682498,-3.288637222,1,1,2,0,0.216835433,0.0
player_01518,player,occasional_player,0.0,True,1,2.546817593,-0.566803752,0,1,1,0,0.0,0.0
player_01519,player,occasional_player,0.0,True,1,4.548598742,-1.552140873,0,2,2,0,0.0,0.0
player_01520,player,occasional_player,0.0,True,1,3.142758208,-1.406402147,0,2,2,0,0.0,0.0
player_01521,player,opportunistic_player,0.0,True,1,9.352223202,-1.646757295,0,2,2,0,0.0,0.0
player_01522,player,occasional_player,0.0,True,1,2.894710797,-0.792351606,0,1,1,0,0.0,0.0
player_01523,player,occasional_player,0.0,True,1,2.845417291,-0.229208157,0,1,1,0,0.0,0.0
player_01524,player,occasional_player,0.0,True,1,0.927448681,-0.310037051,0,2,2,0,0.0,0.0
player_01525,player,occasional_player,0.0,True,1,1.436134041,-0.39992945,0,1,1,0,0.0,0.0
player_01526,player,occasional_player,0.0,True,1,29.514195775,2.038281126,1,2,3,0,0.384196415,0.0
