draw,phase,participant_id,archetype,amount,player_tvl_before_deposit,early_boost,second_draw_weight,entered_at_minute,withdrawn_at_minute,probability_if_player_side_wins,probability_side_and_wallet,profit_if_win,payout_multiple,ev,status,pnl,fee_paid
2,countdown,player_00027,occasional_player,1.209987547,4.594422862,1.0,1.209987547,20,,0.134211765,0.120790588,5.936675761,4.906394099,-0.346737882,lost,-1.209987547,0.0
2,countdown,player_00019,persistent_player,0.26779849,5.804410409,1.0,0.26779849,20,,0.029704197,0.026733777,6.831755365,25.510806148,-0.078000601,won,6.831755365,0.359566072
2,countdown,player_00028,occasional_player,0.739860969,6.072208899,1.0,0.739860969,20,,0.082065346,0.073858811,6.38329601,8.627696659,-0.213753063,lost,-0.739860969,0.0
2,countdown,player_00017,persistent_player,0.311309081,6.812069868,1.0,0.311309081,20,,0.034530389,0.03107735,6.790420304,21.812471007,-0.090606148,lost,-0.311309081,0.0
3,bootstrap,player_00022,persistent_player,0.21177278,0,1.5,0.31765917,0,,0.033378796,0.030040916,7.640972794,36.080995838,0.024130894,lost,-0.21177278,0.0
3,bootstrap,player_00018,persistent_player,1.891583038,0.21177278,1.477889553,2.79555081,10,,0.293749179,0.264374261,6.045153049,3.195816904,0.206685703,lost,-1.891583038,0.0
3,bootstrap,player_00028,occasional_player,0.549837693,2.103355818,1.280396055,0.704010013,20,,0.073975534,0.06657798,7.319811126,13.312676122,-0.025892368,lost,-0.549837693,0.0
3,bootstrap,player_00021,persistent_player,1.947200504,2.653193511,1.22149643,2.378498463,30,,0.249926408,0.224933767,5.992316456,3.077400834,-0.161335046,won,5.992316456,0.315385077
3,countdown,player_00014,persistent_player,0.702992791,4.600394015,1.0,0.702992791,30,,0.073868647,0.066481782,7.174313783,10.205387417,-0.179295412,lost,-0.702992791,0.0
3,countdown,player_00025,opportunistic_player,0.436629562,5.303386806,1.0,0.436629562,30,,0.045879894,0.041291905,7.427358851,17.010664181,-0.111910501,lost,-0.436629562,0.0
