draw,staker_count,staker_tvl,initial_player_threshold,player_threshold,activation_threshold_pct,funding_minutes,threshold_decay_steps,cycle_minutes,pending_withdrawn_count,pending_withdrawn_tvl,player_position_count,player_tvl,bootstrap_player_tvl,countdown_player_tvl,player_effective_wallet_count,player_largest_share,player_gini,median_player_profit_multiple,target_player_probability,activated,activation_reason,winner_mode,winner_id,gross_prize,protocol_fee,winner_profit,staker_jackpot_paid,staker_pro_rata_paid,staker_erosion_paid,protocol_revenue_cumulative,staker_cumulative_pnl,player_cumulative_pnl
73,481,10622.869142781,106.228691428,56.454282001,0.00531441,60,6,65,0,0,15,65.266833519,62.474269445,2.792564074,6.163158,0.310429,0.545569,29.31864611,0.9,True,activated,player,player_00078,65.266833519,2.893842778,59.55169113,0.0,0.0,4.568678346,252.024197638,647.586039196,-899.610236834
74,482,10555.269645304,105.552696453,50.4855275,0.004782969,70,7,75,0,0,12,82.053623526,69.238347266,12.81527626,5.909209,0.260296,0.511416,20.791738824,0.9,True,activated,player,player_00338,82.053623526,3.096744327,64.581895864,0.0,0.0,5.743753647,255.120941965,641.842285549,-896.963227514
75,483,10528.595306618,105.285953066,45.322150469,0.004304672,80,8,85,0,0,17,91.974438106,47.224194423,44.750243683,7.717619,0.242922,0.528412,33.474802691,0.9,True,activated,player,player_00106,91.974438106,4.051370972,83.414259138,0.0,0.0,6.438210667,259.172312937,635.404074882,-894.576387819
76,477,10479.362307594,104.793623076,40.599196696,0.003874205,90,9,95,1,5.738082715,17,49.711952561,42.193204134,7.518748427,9.964899,0.177459,0.439534,24.364078319,0.9,True,activated,player,player_00187,49.711952561,2.193321485,45.152944898,0.0,0.0,3.479836679,261.365634422,631.924238203,-893.289872625
77,481,10703.07534373,107.030753437,46.073229816,0.004304672,80,8,85,1,2.638654392,14,64.191559662,51.075179073,13.116380589,7.148443,0.199289,0.495919,29.019992257,0.9,True,activated,player,player_00107,64.191559662,3.139060813,64.135564622,0.0,0.0,4.493409176,264.504695235,627.430829026,-891.935524262
78,488,10786.02674479,107.860267448,41.787277558,0.003874205,90,9,95,0,0,18,60.021882952,46.253689352,13.7681936,10.098415,0.212867,0.430885,26.760782406,0.9,True,activated,player,player_00371,60.021882952,2.805048446,57.497452289,0.0,0.0,4.201531807,267.309743682,623.22929722,-890.539040901
79,488,10754.257822852,107.542578229,37.497778421,0.003486784,100,10,105,0,0,19,59.069534675,41.187546424,17.881988251,11.104881,0.191022,0.395141,26.787600618,0.9,True,activated,staker,staker_00004,59.069534675,2.953476734,17.720860402,17.720860402,38.395197539,0.0,270.263220415,679.345355161,-949.608575576
80,489,11061.335472505,110.613354725,38.56849198,0.003486784,100,10,105,0,0,17,47.24347335,43.277642226,3.965831124,7.961843,0.223925,0.495561,26.874398808,0.9,True,activated,player,player_00108,47.24347335,1.917182799,39.73351632,0.0,0.0,3.307043135,272.180403215,676.038312026,-948.218715241
81,488,11200.23459289,112.002345929,53.570374851,0.004782969,70,7,75,0,0,13,73.947762847,63.307414913,10.640347934,8.723786,0.227051,0.360092,14.201471673,0.9,True,activated,player,player_00379,73.947762847,3.373086378,69.264984585,0.0,0.0,5.176343399,275.553489593,670.861968627,-946.41545822
82,484,11158.734566281,111.587345663,53.37188151,0.004782969,70,7,75,0,0,16,66.567222648,58.01302937,8.554193278,6.539234,0.290416,0.541382,26.86926325,0.9,True,activated,player,player_00103,66.567222648,3.020847609,62.055810163,0.0,0.0,4.659705585,278.574337202,666.202263042,-944.776600244
