case_id,changes,runs,player_profitable_rate,staker_profitable_rate,combined_profitable_rate,player_ev_per_stake,player_pnl_per_stake,staker_return_per_draw,protocol_revenue_per_day,protocol_take_per_player_sol,median_funding_minutes,activation_rate,player_profit_index,staker_profit_index,revenue_day_index,protocol_take_index,user_profit_index,revenue_index,balanced_score,pareto,rank
pair__risk_tvl_erosion_cap_rate-0p035__threshold_decay_factor-0p85,"{""risk_tvl_erosion_cap_rate"":0.035,""threshold_decay_factor"":0.85}",3,0.1990513540216251,0.8175377764046042,0.4751748892901003,-0.10620007420217727,-0.09905233942251353,0.0009446111073123179,23.607711638679596,0.03838765288062831,36.666666666666664,1.0,1.0219419277767554,1.2594351573093223,1.002407437107335,0.9846407034568792,1.1344908957636064,0.9934843551982959,1.0616491680663833,True,34
pair__target_risk_probability-0p875__threshold_decay_factor-0p95,"{""target_risk_probability"":0.875,""threshold_decay_factor"":0.95}",3,0.18159674232316858,0.8560437855796671,0.4489316699431211,-0.12014231180120034,-0.1382160529605519,0.0016632133694443707,23.709053369477992,0.040981780806230925,50.0,1.0,0.9185123035586128,1.3184812490483797,0.9955249450302208,1.0509098411737456,1.1004731933410574,1.0228425889970614,1.060948090247035,True,35
pair__countdown_minutes-15__target_risk_probability-0p875,"{""countdown_minutes"":15,""target_risk_probability"":0.875}",3,0.11036002320503062,0.8281171095742688,0.3020026116641884,-0.13282619314610092,-0.13175363863119807,0.002336229956987071,32.555897190127496,0.043897704137031666,40.0,1.0,0.5731694473776829,1.2728272914035703,1.5136909812737531,1.128634304885345,0.8541344831003005,1.3070591296728387,1.0566003379256692,False,36
pair__countdown_minutes-15__risk_tvl_erosion_cap_rate-0p035,"{""countdown_minutes"":15,""risk_tvl_erosion_cap_rate"":0.035}",3,0.1105205396512363,0.8098012997745273,0.30419127035420035,-0.11506068144139506,-0.11435385241844744,0.0016604850048072314,32.76790026363469,0.044004906369086064,46.666666666666664,1.0,0.5750829893314764,1.2483268453307474,1.5305441167687908,1.1317970727485442,0.847284800923242,1.3161555193332677,1.0560106851648396,False,37
pair__max_early_boost-0p75__threshold_decay_factor-0p85,"{""max_early_boost"":0.75,""threshold_decay_factor"":0.85}",3,0.19414922075196114,0.7238194095802464,0.41189170129906144,-0.09323930229466157,-0.10570269712533029,0.0013315420467871477,25.266432200863623,0.03928925203838868,33.333333333333336,1.0,1.0095810420895137,1.1081794220487855,1.1021329789826855,1.0077141687751054,1.0577319772674776,1.0538666987789147,1.0557975691749677,True,38
pair__countdown_minutes-15__target_risk_probability-0p85,"{""countdown_minutes"":15,""target_risk_probability"":0.85}",3,0.106958470341216,0.8385246207333057,0.30433557969396946,-0.1586940640963905,-0.14017826379177178,0.0029631716051655875,31.8197969259042,0.043784878016870636,40.0,1.0,0.5589911966220469,1.2905544285690262,1.5041615987008756,1.1250669142964966,0.8493577363700656,1.3008775685873284,1.0511471956628757,False,39
pair__max_early_boost-0p75__risk_tvl_erosion_cap_rate-0p035,"{""max_early_boost"":0.75,""risk_tvl_erosion_cap_rate"":0.035}",3,0.19224784887676294,0.7793204252009239,0.46231052014355817,-0.10781140235972181,-0.10677718653700621,0.0013681524436794548,24.6893309349001,0.038245462896763026,36.666666666666664,1.0,0.9830415419160912,1.1986931287850018,1.0450950834470902,0.9783419018367924,1.0855252837244427,1.0111677959369094,1.0476870756945669,False,40
pair__countdown_minutes-10__max_early_boost-0,"{""countdown_minutes"":10,""max_early_boost"":0.0}",3,0.1472359993560227,0.7402059276817248,0.3242523719131606,-0.1036468876042101,-0.1054266069147692,0.0016966975852774231,27.629865589052322,0.04202432677002009,40.0,1.0,0.7659782068137031,1.120071667363471,1.299057333717289,1.0787998436939972,0.9262561671966919,1.1838170671872206,1.0471474868970767,False,41
pair__countdown_minutes-10__risk_threshold_pct_of_safe_tvl-0p005,"{""countdown_minutes"":10,""risk_threshold_pct_of_safe_tvl"":0.005}",3,0.15999199673064315,0.6189040323609414,0.30393149466482533,-0.09768089295940259,-0.09288536302480199,0.001186346483731693,30.94829082997101,0.041986862745336834,25.0,1.0,0.8341417332257158,0.9070227621476087,1.4682714528908474,1.0789511831183316,0.8698192564510069,1.2586473776381737,1.046324866449826,False,42
pair__max_early_boost-0p75__threshold_decay_factor-0p95,"{""max_early_boost"":0.75,""threshold_decay_factor"":0.95}",3,0.19122466271492153,0.7707906986785085,0.42512738778098796,-0.09420103050956832,-0.11210445094249005,0.0013398328517304802,23.360648257412617,0.04072598724544904,43.333333333333336,1.0,0.9880982615496576,1.1827073170840696,0.9789694325851733,1.0440829264015314,1.081032397263296,1.0110021117837364,1.0454310290687892,False,43
